time	V(vout)
2.050050000000000e-04	-5.736462e-03
2.050064400000000e-04	-5.736461e-03
2.050078800000000e-04	-5.736461e-03
2.050093200000000e-04	-5.736461e-03
2.050107600000000e-04	-5.736461e-03
2.050122000000000e-04	-5.736461e-03
2.728484800000460e-04	-5.728691e-03
2.843760000000000e-04	-5.727372e-03
2.843820000000000e-04	-5.727371e-03
2.855512857142857e-04	-5.727237e-03
2.867205714285714e-04	-5.727104e-03
2.878898571428571e-04	-5.726970e-03
2.890591428571428e-04	-5.726836e-03
2.902284285714285e-04	-5.726702e-03
2.913977142857143e-04	-5.726568e-03
2.925670000000000e-04	-5.726434e-03
2.925730000000000e-04	-5.726434e-03
2.931574285714286e-04	-5.726367e-03
2.937418571428571e-04	-5.726300e-03
2.943262857142857e-04	-5.726233e-03
2.949107142857142e-04	-5.726166e-03
2.954951428571428e-04	-5.726099e-03
2.960795714285714e-04	-5.726033e-03
2.966640000000000e-04	-5.725966e-03
2.966920000000000e-04	-5.725963e-03
2.987110000000000e-04	-5.725732e-03
2.987230000000000e-04	-5.725730e-03
2.988327142857143e-04	-5.725718e-03
2.989424285714286e-04	-5.725705e-03
2.990521428571428e-04	-5.725692e-03
2.991618571428572e-04	-5.725680e-03
2.992715714285714e-04	-5.725667e-03
2.993812857142857e-04	-5.725655e-03
2.994910000000000e-04	-5.725642e-03
2.995030000000000e-04	-5.725641e-03
2.997440000000000e-04	-5.725613e-03
2.997459999999999e-04	-5.725613e-03
2.999680000048949e-04	-5.725588e-03
2.999720000171404e-04	-5.725587e-03
2.999760000293861e-04	-5.725587e-03
2.999800000416317e-04	-5.725587e-03
2.999840000538773e-04	-5.725586e-03
2.999880000661228e-04	-5.725586e-03
2.999920000783685e-04	-5.725585e-03
2.999960000906141e-04	-5.725584e-03
2.999990001812281e-04	-5.725584e-03
3.000000000000000e-04	-5.725584e-03
3.000000999818771e-04	-5.725584e-03
3.000002999456315e-04	2.175169e+00
3.000006000724912e-04	8.595759e+02
3.000010000000000e-04	3.984547e+03
3.000068446548779e-04	3.682711e+03
3.000126893097558e-04	3.401812e+03
3.000185339646337e-04	3.141850e+03
3.000243786195116e-04	2.902824e+03
3.000302232743895e-04	2.684735e+03
3.000360679292675e-04	2.487583e+03
3.000419125841454e-04	2.311368e+03
3.000688906924161e-04	1.598192e+03
3.000961150383888e-04	1.092822e+03
3.001253419691038e-04	7.245677e+02
3.001522036249708e-04	4.955055e+02
3.001802774478892e-04	3.340765e+02
3.002072294243501e-04	2.285988e+02
3.002352760101472e-04	1.542003e+02
3.002624691334432e-04	1.051479e+02
3.002903693256281e-04	7.104817e+01
3.003176505062764e-04	4.839209e+01
3.003454482249872e-04	3.274132e+01
3.003728129181945e-04	2.227494e+01
3.004005447350991e-04	1.508157e+01
3.004279664165465e-04	1.025091e+01
3.004556489139926e-04	6.942948e+00
3.004831110093993e-04	4.714673e+00
3.005107589893739e-04	3.192682e+00
3.005382501234415e-04	2.165220e+00
3.005658735193521e-04	1.464713e+00
3.005933852712116e-04	9.910845e-01
3.006209911713216e-04	6.685928e-01
3.006485176208954e-04	4.503089e-01
3.006761110836135e-04	3.018180e-01
3.007036479991249e-04	2.012307e-01
3.007312326115906e-04	1.328499e-01
3.007587769783732e-04	8.650307e-02
3.007863552940539e-04	5.501056e-02
3.008139049659296e-04	3.365727e-02
3.008414788010897e-04	1.915264e-02
3.008690322497013e-04	9.315087e-03
3.008966028967165e-04	2.634335e-03
3.009241590342510e-04	-1.897696e-03
3.009517274131386e-04	-4.974909e-03
3.009792854657661e-04	-7.062699e-03
3.010068522320785e-04	-8.480120e-03
3.010344116502271e-04	-9.441890e-03
3.010619772723771e-04	-1.009479e-02
3.010895376676365e-04	-1.053783e-02
3.011171024830873e-04	-1.083858e-02
3.011446635850381e-04	-1.104267e-02
